22.01.2019 RGB-PI Database for FBA 0.2.97.44 (0.197) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  Libretro core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

agalletaj 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalletak 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalletat 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalletau 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalleth 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalletj 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalletk 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agallett 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agalletu 1920 240 57.550645 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
agentx1 1920 232 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
agentx2 1920 232 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
agentx3 1920 232 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
agentx4 1920 232 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
agress 1920 240 57.444853 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
agressb 1920 240 57.444853 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
airass 1920 240 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
airattck 1920 224 56.180000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
airattcka 1920 224 56.180000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
airbustr 1920 224 57.400000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
airbustrb 1920 224 57.400000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
airbustrj 1920 224 57.400000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
